Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,dispatch POST /generate/worksheet,41,0,3700,7037.426473463622,2667.1213380013796,24096.41968899996,78.0,0.034179888084743364,0.0,3700,5400,8000,11000,18000,21000,24000,24000,24000,24000,24000
POST,login,12,0,6900,6714.079813583491,3351.3967380004033,16936.547582001367,390.0,0.010003869683339522,0.0,6900,6900,6900,6900,7900,17000,17000,17000,17000,17000,17000
GET,poll GET /jobs/{id},2096,0,1700,1981.6770692533241,1018.6759869993693,19448.670513000252,437.43845419847327,1.7473425713566364,0.0,1700,2000,2300,2500,3000,3500,4400,5000,17000,19000,19000
JOB,worksheet_e2e,29,0,457000,407323.24989910785,124843.20998191833,519919.1589355469,0.0,0.024176018401403845,0.0,457000,477000,486000,496000,507000,515000,520000,520000,520000,520000,520000
,Aggregated,2178,0,1700,7500.033437742939,1018.6759869993693,519919.1589355469,424.5863177226814,1.8157023475261231,0.0,1700,2000,2500,2700,3200,4100,11000,361000,507000,520000,520000
