Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,dispatch POST /generate/worksheet,5,0,3100,3396.927365800002,2803.267815000254,5051.9855940001435,76.0,0.008404612287962347,0.0,3100,3200,3200,5100,5100,5100,5100,5100,5100,5100,5100
POST,login,1,0,4085.57150300021,4085.57150300021,4085.57150300021,4085.57150300021,390.0,0.0016809224575924694,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,poll GET /jobs/{id},103,0,1500,1764.4170637572336,1131.2324359996637,7672.666731999925,786.5631067961165,0.17313501313202434,0.0,1500,1700,1900,2000,2700,3300,4100,4300,7700,7700,7700
JOB,worksheet_e2e,4,0,127000,128151.08078718185,110396.41237258911,154934.83209609985,0.0,0.006723689830369878,0.0,127000,127000,155000,155000,155000,155000,155000,155000,155000,155000,155000
,Aggregated,113,0,1500,6331.057425201086,1131.2324359996637,154934.83209609985,723.7699115044247,0.18994423770794905,0.0,1500,1800,2100,2500,3300,5100,121000,127000,155000,155000,155000
