Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789886144,12,,Aggregated,0.600000,0.000000,7600,9300,12000,14000,17000,18000,21000,21000,21000,21000,21000,21,0,7600,9476.050590428626,3351.3967380004033,21319.13698900098,256.2857142857143
1789886145,12,,Aggregated,0.600000,0.000000,7600,9300,12000,14000,17000,18000,21000,21000,21000,21000,21000,21,0,7600,9476.050590428626,3351.3967380004033,21319.13698900098,256.2857142857143
1789886146,12,,Aggregated,0.500000,0.000000,7900,11000,14000,17000,18000,21000,22000,22000,22000,22000,22000,22,0,7900,10051.481790409194,3351.3967380004033,22135.53699000113,248.1818181818182
1789886147,12,,Aggregated,0.500000,0.000000,7900,11000,14000,17000,18000,21000,22000,22000,22000,22000,22000,22,0,7900,10051.481790409194,3351.3967380004033,22135.53699000113,248.1818181818182
1789886148,12,,Aggregated,0.400000,0.000000,7900,12000,17000,17000,21000,22000,24000,24000,24000,24000,24000,23,0,7900,10662.131264260968,3351.3967380004033,24096.41968899996,240.7826086956522
1789886149,12,,Aggregated,0.500000,0.000000,9300,13000,17000,17000,21000,22000,24000,24000,24000,24000,24000,28,0,9300,11247.269956500142,3351.3967380004033,24096.41968899996,240.0
1789886150,12,,Aggregated,0.500000,0.000000,9300,13000,17000,17000,19000,22000,24000,24000,24000,24000,24000,31,0,9300,11206.369540225956,3351.3967380004033,24096.41968899996,239.41935483870967
1789886151,12,,Aggregated,0.500000,0.000000,9300,13000,17000,17000,19000,22000,24000,24000,24000,24000,24000,31,0,9300,11206.369540225956,3351.3967380004033,24096.41968899996,239.41935483870967
1789886152,12,,Aggregated,0.500000,0.000000,9300,13000,17000,17000,19000,22000,24000,24000,24000,24000,24000,31,0,9300,11206.369540225956,3351.3967380004033,24096.41968899996,239.41935483870967
1789886153,12,,Aggregated,1.200000,0.000000,8000,13000,17000,17000,20000,22000,24000,24000,24000,24000,24000,35,0,8000,10952.716757600192,2999.9769580008433,24096.41968899996,233.31428571428572
