Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789899459,6,,Aggregated,1.600000,0.000000,2800,4600,4800,5100,8700,11000,13000,13000,13000,13000,13000,32,0,2800,3751.496987124995,1072.1774720000212,13315.238673000067,238.875
1789899460,6,,Aggregated,1.600000,0.000000,2800,4600,4800,5100,8700,11000,13000,13000,13000,13000,13000,32,0,2800,3751.496987124995,1072.1774720000212,13315.238673000067,238.875
1789899461,6,,Aggregated,1.800000,0.000000,1700,4600,4700,5100,8700,11000,13000,13000,13000,13000,13000,35,0,1700,3568.740947371427,1072.1774720000212,13315.238673000067,238.45714285714286
1789899462,6,,Aggregated,2.100000,0.000000,1600,4600,4600,4800,8700,11000,13000,13000,13000,13000,13000,37,0,1600,3442.5155467027053,1072.1774720000212,13315.238673000067,239.51351351351352
1789899463,6,,Aggregated,1.700000,0.000000,1600,4600,4600,4800,8700,11000,13000,13000,13000,13000,13000,38,0,1600,3390.7266982105293,1072.1774720000212,13315.238673000067,239.05263157894737
1789899464,6,,Aggregated,2.000000,0.000000,1500,4500,4600,4700,6800,8800,13000,13000,13000,13000,13000,41,0,1500,3236.2222535121973,1072.1774720000212,13315.238673000067,238.6829268292683
1789899465,6,,Aggregated,1.800000,0.000000,1500,3900,4600,4700,6800,8800,13000,13000,13000,13000,13000,43,0,1500,3137.678983255815,1072.1774720000212,13315.238673000067,239.58139534883722
1789899466,6,,Aggregated,1.800000,0.000000,1500,3900,4600,4700,6800,8800,13000,13000,13000,13000,13000,44,0,1500,3095.4240247727303,1072.1774720000212,13315.238673000067,239.1818181818182
1789899467,6,,Aggregated,1.700000,0.000000,1400,2800,4600,4600,6800,8800,13000,13000,13000,13000,13000,46,0,1400,3011.858290347832,1071.7336039999736,13315.238673000067,238.43478260869566
1789899468,6,,Aggregated,1.800000,0.000000,1400,2500,4600,4600,6800,8800,13000,13000,13000,13000,13000,48,0,1400,2943.84247612501,1071.7336039999736,13315.238673000067,239.25
1789899469,6,,Aggregated,1.800000,0.000000,1400,2500,4600,4600,6800,8800,13000,13000,13000,13000,13000,49,0,1400,2909.846174408169,1071.7336039999736,13315.238673000067,239.6326530612245
