Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,dispatch POST /generate/worksheet,27,0,7100,7535.3635883333545,2745.3859019997253,15521.478187999492,77.25925925925925,0.02267782945777267,0.0,7100,7900,11000,11000,15000,15000,16000,16000,16000,16000,16000
POST,login,6,2,23000,20903.132419500103,15594.88383200005,24639.945405000617,260.0,0.005039517657282815,0.0016798392190942718,23000,23000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,poll GET /jobs/{id},419,0,3700,5850.135968966576,1036.7703789997904,163315.52017899958,1110.0,0.35192631640024996,0.0,3700,5300,6600,7800,11000,15000,22000,36000,163000,163000,163000
JOB,worksheet_e2e,23,0,163000,174759.556480076,94762.96043395996,309259.16600227356,0.0,0.019318151019584125,0.0,163000,188000,203000,213000,246000,288000,309000,309000,309000,309000,309000
,Aggregated,475,2,4100,14314.84290829631,1036.7703789997904,309259.16600227356,986.8126315789474,0.39896181453488955,0.0016798392190942718,4100,6100,7900,9300,16000,95000,177000,213000,309000,309000,309000
