Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,dispatch POST /generate/worksheet,27,0,3400,3719.4197375184995,2787.4208040002486,7002.90247599969,76.0,0.02254735063206383,0.0,3400,3500,3700,4200,5000,6700,7000,7000,7000,7000,7000
POST,login,3,0,9390.33398599986,7984.730073999951,5182.251098000052,9390.33398599986,390.0,0.0025052611813404253,0.0,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
GET,poll GET /jobs/{id},543,0,1700,2403.005939762448,1039.4705250000698,24050.335136000285,926.2633517495395,0.453452273822617,0.0,1700,2100,2700,3000,4100,5700,8100,9400,24000,24000,24000
JOB,worksheet_e2e,24,2,134000,138032.11288650832,48966.18032455444,206292.07611083984,0.0,0.020042089450723402,0.001670174120893617,134000,149000,170000,176000,181000,189000,206000,206000,206000,206000,206000
,Aggregated,597,2,1900,7943.017517089129,1039.4705250000698,206292.07611083984,847.8777219430485,0.4985469750867446,0.001670174120893617,1900,2500,3000,3500,5600,9400,134000,170000,206000,206000,206000
