Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,dispatch POST /generate/worksheet,77,1,4800,9977.355768337675,2815.733959001591,40618.67574500138,77.25974025974025,0.03211124782186806,0.00041702919249179303,4800,5900,10000,17000,31000,37000,39000,41000,41000,41000,41000
POST,login,20,0,9400,10544.598583449988,8522.818417999588,14918.99362500044,390.0,0.008340583849835862,0.0,9400,11000,11000,12000,15000,15000,15000,15000,15000,15000,15000
GET,poll GET /jobs/{id},6235,0,2000,2688.984524449882,1023.4507819986902,36620.170426000186,371.31836407377705,2.60017701518633,0.0,2000,2700,3100,3500,4800,6000,8700,11000,26000,37000,37000
JOB,worksheet_e2e,56,0,812000,711119.4826917989,134016.1726474762,897155.2894115448,0.0,0.02335363477954041,0.0,812000,844000,859000,864000,888000,893000,893000,897000,897000,897000,897000
,Aggregated,6388,1,2100,9011.843754933709,1023.4507819986902,897155.2894115448,364.57717595491545,2.663982481637574,0.00041702919249179303,2100,2700,3200,3700,5100,6900,12000,35000,883000,897000,897000
